car;area;mun
 RN-2400208-1F059E35F75F4D04BE91B9A2E4F1C86D;468587;Açu
 RN-2400208-891971FFF8E944899C8453CDC0A1190D;142965;Açu
 RN-2400208-04CD1D4582D24085898172BAD2E45C8C;70476;Açu
 RN-2400208-EED41C4994674C5288AF54BCC9AC8B32;320109;Açu
 RN-2400208-A19A94F9410143E99540C98883CCF1BA;345604;Açu
 RN-2400208-5C3901FC925E4C58A7292A4922FFC085;70644;Açu
 RN-2400208-5F2C13B71E024D5BA8ED3C7A99FF856F;356763;Açu
 RN-2400208-4EBD13E735DE478FAFE51B43D9E0C73C;480480;Açu
 RN-2400208-D50FFFFBABCF4AEC98A41A7A81E950E7;198056;Açu
 RN-2400208-F8C390D9D04946F5AFD67645A420A641;564262;Açu
 RN-2400208-43A0A0E0A2434FBAA59FF52EFFB14B58;259251;Açu
 RN-2400208-4C9F85765D6E47B194CDE8B10062795D;161282;Açu
 RN-2400208-073A4654E5DB4AB3B21B7E7F1BFB7B39;353812;Açu
 RN-2400208-339C73C58DAD4406B494372422BC78F0;88703;Açu
 RN-2400208-6482311628D742438F46093C4708E8BE;294523;Açu
 RN-2400208-174526B090A941F5A085D91C17441EBD;348442;Açu
 RN-2400208-84C2B5F4387C4883AF95E80B813B7739;475112;Açu
 RN-2400208-D11CBBFD6689432FA10C34EF9B4FECBF;433775;Açu
 RN-2400208-05D4B3EE681E45A7A9F85ABD1417A7FF;345548;Açu
 RN-2400208-9145C683763A43BAAF0D4BEC10806086;92426;Açu
 RN-2400208-FDF8E49B74E54E79A187E7C9E5609998;98258;Açu
 RN-2400208-BB5738CB829242F89E5CF4E36A16DD66;110062;Açu
 RN-2400208-C628D28BF375415BA8961E4938F488E4;37660;Açu
 RN-2400208-9DABA04518DD4FA7813F5C8790E45D32;408761;Açu
 RN-2400208-669D94D6B8F0450BAFE82D4E50432012;303289;Açu
 RN-2400208-BE372A9DD8154F6485BE10D573FEB403;50727;Açu
 RN-2400208-FF6F0338C9DE4A3CB25A47150B9F872D;218815;Açu
 RN-2400208-020AB27FD2CA4574B7F568B2A78036E0;83326;Açu
 RN-2400208-C88F2E6ADB2849109F259A0ADF9F370C;47322;Açu
 RN-2400208-602754FF0BDF4F10B7A64865DFE5E3B3;384258;Açu
