car;area;mun
RN-2400703-986A14095DBB4938928DAB73E8485C4B;1151149;Alto do Rodrigues
RN-2400703-8ED5AB62FBFB4EE0888D9984542D54CC;98858;Alto do Rodrigues
RN-2400703-A457817253E04295A2094002A06CBE65;2057319;Alto do Rodrigues
RN-2400703-DFF593C47C7343C9B03CF7CF301F56E9;319204;Alto do Rodrigues
RN-2400703-F1E1FF5E3826479D9198F6637AAB8521;40831;Alto do Rodrigues
RN-2400703-0F9201B8353049F2861703ECC663FAE5;40830;Alto do Rodrigues
RN-2400703-77C4ED6A57C446C6B1B972F59D39A7B5;81614;Alto do Rodrigues
RN-2400703-FA3945A96EA546E2B0F8A80EA8AC6486;342237;Alto do Rodrigues
RN-2400703-0B62AFCF978C4DDB80BF8F0073EE8981;73241;Alto do Rodrigues
RN-2400703-E0CA19FEF32E43B1AD6F4967A051A4AD;455020;Alto do Rodrigues
RN-2400703-56EBF60AFFD341CBBC3E029CAFE55179;456051;Alto do Rodrigues
RN-2400703-715F3180088D47899DA9FDEFF73C2786;2055880;Alto do Rodrigues
RN-2400703-2026FEE590E64D0A9DD9F4ADD7443FF6;554541;Alto do Rodrigues
RN-2400703-F45F988A911B480ABABA1E834FE0741D;835365;Alto do Rodrigues
RN-2400703-51686EE12B7342A7B8C8489156641F94;24384;Alto do Rodrigues
RN-2400703-6EFFD93662F94F49A08CA2AE3AE080C0;26713;Alto do Rodrigues
RN-2400703-A76198CAF0CC456E8D5962D9CC0BCDAF;113511;Alto do Rodrigues
RN-2400703-409ACF3ED5EC41C880020D83C6014CF7;94983;Alto do Rodrigues
RN-2400703-3956D7BA275345C4A86E7D7D4A845887;285067;Alto do Rodrigues
RN-2400703-EECECBD5F7BE4661A71115587B30FC4C;70507;Alto do Rodrigues
RN-2400703-65148EAF853F4C43B8585BE5FF16653F;194440;Alto do Rodrigues
RN-2400703-F2890B02BF89401EB0F820309C52411D;317250;Alto do Rodrigues
RN-2400703-AB2F51FA0B48455DB7C52342C4BAAF32;151623;Alto do Rodrigues
RN-2400703-7DBA4D26A3384150B32F697CA258F384;266710;Alto do Rodrigues
RN-2400703-C25C72667D884AE79CDD312DD570B107;76915;Alto do Rodrigues
RN-2400703-040EC97EB7C84A3988CFAD601C6AEB26;102545;Alto do Rodrigues
RN-2400703-AE3C6D6CB20E412D8CCB2CEE1D1A1A78;32020;Alto do Rodrigues
RN-2400703-D6440B78818541A4BFD59CAECE546DBD;80292;Alto do Rodrigues
RN-2400703-E3AF319C0E104343BD5763AB3ABA89E5;180475;Alto do Rodrigues
RN-2400703-4650A5179400468B9F54DFA55DF3B3B8;2842189;Alto do Rodrigues
RN-2400703-D45843B5D4104CBF891D881D24EB5659;81681;Alto do Rodrigues
RN-2400703-49BF1E0401134BF49714CF1940BEF140;79713;Alto do Rodrigues
RN-2400703-291E697D8A4049A29618DA3EB1CF6E28;82937;Alto do Rodrigues
RN-2400703-0B18A175BDCC47BA8154A38A55BC4D37;1171640;Alto do Rodrigues
RN-2400703-8DD7153C1A474B16957524130617449B;104916;Alto do Rodrigues
RN-2400703-C6D40054341B4EDE83A56A2661555C6B;206580;Alto do Rodrigues
RN-2400703-8479EE6F02B0445A86B6473A5D4774DF;75451013;Alto do Rodrigues
RN-2400703-E550A7C0BECD4A038D05F43A1AD9EE93;1604337;Alto do Rodrigues
RN-2400703-E40C6CFFB5C140DD8EBD840261139749;222906;Alto do Rodrigues
RN-2400703-9B28F817CFB14416A3C129012DBD7790;274267;Alto do Rodrigues
RN-2400703-1ABCB5D9EFB4400BB7EA25F8EECA7561;389041;Alto do Rodrigues
RN-2400703-95D618E51D0146698E5F740926562079;293636;Alto do Rodrigues
RN-2400703-B5357CD0CC7349289F8CD7E68399C9D5;102227;Alto do Rodrigues
RN-2400703-9FC1B8BD427A4F16B651E18F427E8330;560903;Alto do Rodrigues
RN-2400703-7993EB6B81F34366A80090D074097D46;149426;Alto do Rodrigues
RN-2400703-F4084B44332D441E97F1DCC077F94EE3;81426;Alto do Rodrigues
RN-2400703-775569F2E19846D1A1DBB449DE9BAD1D;75440;Alto do Rodrigues
RN-2400703-F889DCCB5A1E46C78D29A886BFD94C94;788369;Alto do Rodrigues
RN-2400703-1E12CCEFFE4E492F95F0C56D7178B8E2;88612;Alto do Rodrigues
RN-2400703-A019A7DB8AB24B42A66B7D587BFA8285;779224;Alto do Rodrigues
RN-2400703-54F6789DC9AF4BDE8E2FAF7A2914E2FF;2969543;Alto do Rodrigues
RN-2400703-6241DB1F821D495AB39E6A73C27B2E77;263983;Alto do Rodrigues
RN-2400703-AEEA138699E3489DAF8AF95E3BEF8EDA;117783;Alto do Rodrigues
RN-2400703-C8C5CD1DC6014AEC8FEAE9E521D839D1;402238;Alto do Rodrigues
RN-2400703-B2D6B389336F4728818B8591D456AA22;115347;Alto do Rodrigues
RN-2400703-5BE2C9906E1546DB939F4C30B0661F2F;495205;Alto do Rodrigues
