car;area;mun
 RN-2402501-EF1B90498EF940F48D607F66F707CEEE;362182;Carnaubais
 RN-2402501-A3D3816194CE4514965FF48326AB4AF0;187688;Carnaubais
 RN-2402501-4C24ACE719D74C6D919B6F7E2E7B80BC;217810;Carnaubais
 RN-2402501-2C91BBE80DA144D2ABF805EB577D6F16;61719;Carnaubais
 RN-2402501-56771819B9784614B125864DBB47EA88;703070;Carnaubais
 RN-2402501-DD351257FCCD4FB295456638121DA776;1479136;Carnaubais
 RN-2402501-7E2216A8B1FB4BD78D6F3AA22F523AD5;234918;Carnaubais
 RN-2402501-FA9D883E4AC04F708529CEC229623E4C;16898;Carnaubais
 RN-2402501-7E7C49E43478411AA5B9926AE3063733;217054;Carnaubais
 RN-2402501-DC7017B3F8954552849E9BCECDCEF6DD;484913;Carnaubais
 RN-2402501-28CA89DFA0754C62B1F16D84004819BD;78268;Carnaubais
 RN-2402501-E11ABD900807431AAE79E6A14036AE8E;252426;Carnaubais
 RN-2402501-2BD54DB8BC3B40429B2B47743AEF0DAE;173000;Carnaubais
 RN-2402501-8A505E512EFA423290CCA3FFB3118AA4;277038;Carnaubais
 RN-2402501-E054841D91B241A49D1FA0B0FF66DC0E;199159;Carnaubais
 RN-2402501-C6A31C52E1504C4FAECC65B2D2EAF036;86652;Carnaubais
 RN-2402501-70A39BFC19CF40D289B2CB0B67A8C483;165057;Carnaubais
 RN-2402501-258AF3BF202945AD9D286FE716FE1BEB;1783684;Carnaubais
 RN-2402501-A37191404B89494EB2E3B2445F654601;597339;Carnaubais
 RN-2402501-0F34A668A5414E8DB83BDB101A6AB828;721316;Carnaubais
 RN-2402501-D059185E663744B085083BA9E0E374D5;542935;Carnaubais
 RN-2402501-9EF9BAE864C74B4DB73731006AD298F7;173285;Carnaubais
 RN-2402501-AD1B3B6BCCA54E6FA7870FD8FBDCC627;249530;Carnaubais
 RN-2402501-C40C0214C75140ED80E4B8B254AA36B9;9446500;Carnaubais
 RN-2402501-58302EAB15A446F1B7BC25D03090156E;2080687;Carnaubais
 RN-2402501-6854B2089302436B859291C5BAAA75ED;122859;Carnaubais
 RN-2402501-13651A9499E24F9EA5557EA676C466EC;60028;Carnaubais
 RN-2402501-F1B68CEEB92E4C6E80003598B5DBCDC1;311585;Carnaubais
 RN-2402501-AECB490BC5D8498E93A9ECF6FF4A0DCF;171755;Carnaubais
 RN-2402501-81F202470D4841D083355A357F66B887;247781;Carnaubais
 RN-2402501-4E551C928D694E98A822081193E6FF93;115603;Carnaubais
 RN-2402501-B052C4CF3AED4DC98B600EAE6641A704;141427;Carnaubais
 RN-2402501-AE85E67A98D541D9BC399EC7409AF85D;101663;Carnaubais
 RN-2402501-2C69273429AF43F28385B8F6EF68251D;38044;Carnaubais
 RN-2402501-857B9FFF61EE42928DEB3C2A3E7D4A82;3534930;Carnaubais
 RN-2402501-6742051F89D54E15AF4B1C08CB047568;6066547;Carnaubais
 RN-2402501-D425148DA76843C3AED0F5F1B8A40075;598299;Carnaubais
 RN-2402501-C177A978D51A4A79882221C9C24BDE11;1500471;Carnaubais
 RN-2402501-33F01967E8894410B4D2E68DA0DF41F5;195160;Carnaubais
 RN-2402501-4ED2A5504A40434195CDF8E5610F9116;1026835;Carnaubais
 RN-2402501-BED41B684E0C4372B7CA0042F74B6664;187103;Carnaubais
 RN-2402501-8B8922FE21BB41C0BC8653B7165EA040;352776;Carnaubais
 RN-2402501-9206B8D5025444E9899540EFBF49CF0C;940000;Carnaubais
 RN-2402501-F919D2AA03D24D538ADADC8D7EFA57BA;945219;Carnaubais
 RN-2402501-3C9CC75A27B24654A42F0DF144C4B767;582086;Carnaubais
 RN-2402501-2E0D5DD6DA6D4BBD97D3E10E2D328EE7;39945;Carnaubais
 RN-2402501-0AE9286E35114305B47AE91968B07879;376685;Carnaubais
 RN-2402501-A5F30E19F4A54A58B3E995A7022B4C81;4901444;Carnaubais
 RN-2402501-4A16F61C2E924135B3A3F05A8D8C824B;39850;Carnaubais
 RN-2402501-19EBBF38C79849E9BEB16102145D33F3;0.8036;Carnaubais
 RN-2402501-9B8D3D6C48664B09817D9BE6B55AD979;781154;Carnaubais
 RN-2402501-ACDA68EF92CA4692A5F365C14A32872A;24419912;Carnaubais
 RN-2402501-94BCD19A94E34726A8F955D9C17846EC;238139;Carnaubais
 RN-2402501-3ACEFD1CA19C44DBA5E04A62FC10EE0E;394805;Carnaubais
 RN-2402501-A05AE402C9D74A13AC6E01F50332ADF0;20293;Carnaubais
 RN-2402501-842210FCB74049D1A55939F2A9CCA21C;3368651;Carnaubais
 RN-2402501-0061F3635741440DA4F1CEE647BF7886;115696;Carnaubais
 RN-2402501-4E1CD1D28A3546489F852D7C28455A48;183889;Carnaubais
 RN-2402501-E049976EEDAA4FDB9CCB5C94B1F7B1C9;396241;Carnaubais
 RN-2402501-2200CEE8BBA54C0491A4384C30914FF8;1014236;Carnaubais
 RN-2402501-7A52761325834F2693ADCC75C6FEA90E;52555;Carnaubais
 RN-2402501-9B62FCA7D8C34FC5A78B27622601976A;64698;Carnaubais
 RN-2402501-DB60A00AFDF54FBFA68F5CB093590848;333630;Carnaubais
 RN-2402501-B296CC28826B4DA699383F60AB2F9167;676261;Carnaubais
 RN-2402501-CC84540C8C504998A21707D190C69218;64808;Carnaubais
 RN-2402501-54A9434E6F844709A284E4F82A3FD3E9;64795;Carnaubais
 RN-2402501-4578ED666BCF4E0F883F645E3A54203C;64781;Carnaubais
 RN-2402501-DE2ACF721042489E8985CD51E0537A1F;204511;Carnaubais
 RN-2402501-041FAF1DC2F54C498CB182FCF04A0E3E;700531;Carnaubais
 RN-2402501-77C8DB7B65BA47309C03939F7BA6ED75;231472;Carnaubais
 RN-2402501-4ED729AF80E4440284539810BD2255C9;500254;Carnaubais
 RN-2402501-AD4C1539F8F04E5898337411BB0BF875;107577;Carnaubais
 RN-2402501-5372223093794CA683436C552DB8B8F4;573296;Carnaubais
 RN-2402501-A57D87D3C08B4A4686FEB3296A4B8889;284083;Carnaubais
 RN-2402501-7F347AD3429345EAA69D7A7787A84287;381781;Carnaubais
 RN-2402501-10C931CCCC5248308E5B0D7A989E7AB2;208281;Carnaubais
 RN-2402501-C326922F40B64AF79194876AF79C55DB;754591;Carnaubais
 RN-2402501-2BFFF822EDF440F08BB425C070113B32;330172;Carnaubais
 RN-2402501-2A7D1381C36043DA9A9CFD1522F56965;300029;Carnaubais
 RN-2402501-E861D2823E4A418DAEFB36256CFFF6A7;110126;Carnaubais
 RN-2402501-A047C8A9FECD4366B70AD2BC135A7C10;3315390;Carnaubais
 RN-2402501-27DA3B5E2F094E2E86DC268C2A9704EE;1160792;Carnaubais
 RN-2402501-60FB8E64BA6F450BB240FDF0B88435EC;195104;Carnaubais
 RN-2402501-D69B27B192E5478F8956B3510CF09A8B;42910;Carnaubais
 RN-2402501-396CD49307E44A42A19D42D00FFB7F09;365190;Carnaubais
 RN-2402501-939DE405C5E046F784109FE4DFB0D846;352116;Carnaubais
 RN-2402501-89F22705994242B99281598C901333FC;2801467;Carnaubais
 RN-2402501-611CABFFA4484E479E2653DADFF12872;2305079;Carnaubais
 RN-2402501-8B05FA8BE2CC45C3A29FBB5ED5FBA0AF;201757;Carnaubais
 RN-2402501-13116C868B2C4481A8C47495E61484D9;3587451;Carnaubais
 RN-2402501-8B21E2F3DBBA4933B0C91021B1DFB08F;1254806;Carnaubais
 RN-2402501-01DB8436A1D44C76945D5413FABE611D;135524;Carnaubais
 RN-2402501-F4F9D2F15B314572A112EA507536FE8B;172150;Carnaubais
 RN-2402501-41F13F89EBD14051BD8804CE9BB83C93;185915;Carnaubais
 RN-2402501-6B182CB2A24444DFBA5FF853C5FF9F63;675765;Carnaubais
 RN-2402501-F534E85ED37C4EA08E8D5E15BA381AA2;215624;Carnaubais
 RN-2402501-FE9C6527D1F344F9B039DA443B3B0E21;72258;Carnaubais
 RN-2402501-FB5A99F534E34AF8A167238C708B4FAE;58449;Carnaubais
 RN-2402501-42D909FD7D834A3A84B21A4E822BC281;127300;Carnaubais
 RN-2402501-8D102136F5FB47AE95C89D1838EE5A22;62734;Carnaubais
 RN-2402501-9BF963CDC4274464850BE1DC348491CA;35896;Carnaubais
 RN-2402501-B1D7237FA23E41A1B1F235563FC54DE8;177103;Carnaubais
 RN-2402501-F073D84F33F24000B8BF786E7467D8C1;173000;Carnaubais
 RN-2402501-799F5CA3521B45AC8485CF6FBC0E18E5;175233;Carnaubais
 RN-2402501-CAD4E8281ECF474A89F2EBD75FA16742;98601;Carnaubais
 RN-2402501-5F07A41E52C144EEA5D7EC54CAE1931E;44789;Carnaubais
 RN-2402501-F7F4C810F5F94011815B09836958BACD;124943;Carnaubais
 RN-2402501-66A1DBB4EF6147B9B69082A2906C7EC5;172995;Carnaubais
 RN-2402501-666AACDB854B48F8803CFDEB91211A52;458799;Carnaubais
 RN-2402501-C7482BC95B41458A8D32B275AC20DAEE;114992;Carnaubais
 RN-2402501-96585BB35DBE4279A3E2ED80DE13E54C;63787;Carnaubais
 RN-2402501-E20457871013496096A3C54F324B3ADB;24691;Carnaubais
 RN-2402501-3D64B58A01F2437EBE9CE08384E2898E;49840;Carnaubais
 RN-2402501-FF70686D2C874C00B37501B2ADBE75EC;2492116;Carnaubais
 RN-2402501-A018CBC73A774E98B46813C00F3FC48E;1585006;Carnaubais
 RN-2402501-032DEF3E33CA4D14837FDF5F112B3FCB;1162514;Carnaubais
 RN-2402501-8188676999634245823C495F739E6F04;577745;Carnaubais
 RN-2402501-8E45B1FE831944E4922E4506E2FD0246;225031;Carnaubais
 RN-2402501-958E1B99F4B24D239F39FA1735B6BE3F;3103617;Carnaubais
 RN-2402501-8343A325C1CA4F3E864C25CA47870693;438718;Carnaubais
 RN-2402501-ACEF723D02F145AAB1B220F4767F1347;260315;Carnaubais
 RN-2402501-90CB55F4673440F48C89CF199619B940;254204;Carnaubais
 RN-2402501-434C04D9FFC84C52B6EC733DFEBB641D;111850;Carnaubais
 RN-2402501-A88A871E72744B9B94C1B6828E3EED55;90801;Carnaubais
 RN-2402501-DFFD9AEF61BE42798AF16D7925BB3F03;935094;Carnaubais
 RN-2402501-6BD4DE608C814448BB3556E3F0EF4A62;359328;Carnaubais
 RN-2402501-3119E0D63C014142BF86E14778552012;22869;Carnaubais
 RN-2402501-47D2FFAAE0734A4485AFCEA36E3E928F;354850;Carnaubais
 RN-2402501-151472B67C224F5AA6AD57280A3F3228;1240436;Carnaubais
 RN-2402501-DE5A7ED6088B49B38F00BAD8CA4B5FBE;99851;Carnaubais
 RN-2402501-D7FAD32A1CBD4ABC9A0EF5D2D67E0804;67077;Carnaubais
 RN-2402501-A2B6447EBB884823B9A4ADE33DAF790E;7750274;Carnaubais
 RN-2402501-7022B86A714048748FE2D05A28873056;103678;Carnaubais
 RN-2402501-EDCC00A9B7BE4302827C0DDB2DD20BDC;578366;Carnaubais
 RN-2402501-5571F83D319A4F85BADF79A0C4814678;51101;Carnaubais
 RN-2402501-C552CB63F867486A92CEF6A94AA4F633;88713;Carnaubais
 RN-2402501-E5110D49C2484D1091D2D2B2776D221C;146704;Carnaubais
 RN-2402501-B78F7BC1A11C4AFD9C2878B96CA60FE1;4755992;Carnaubais
 RN-2402501-9AA5B275C56B42AA926E1E05A33F05DF;9277608;Carnaubais
 RN-2402501-B5365EE291D8409D9BC608DBCC73FE92;3867253;Carnaubais
 RN-2402501-CD12232652F44637915CA073AFDD3479;9803781;Carnaubais
 RN-2402501-BA34113B45964740B4B5D5C2BAC1F72E;7266201;Carnaubais
 RN-2402501-DAB815928C844C38AE3CAE78DDB28322;174334;Carnaubais
 RN-2402501-EC76D88BB5E5444C91B7FE62F5F8D6E3;827099;Carnaubais
 RN-2402501-5BC521B558AE487DAEA2047EA3CE63AE;940351;Carnaubais
 RN-2402501-248AB3B1FE054BEA8AE5290D9599BA50;254204;Carnaubais
 RN-2402501-AEE464CC5E364C9B8594165C1283A9BF;954296;Carnaubais
 RN-2402501-2F16B6BCA5A14511BC86BF124AC30E19;461214;Carnaubais
 RN-2402501-ADA34DFFC2EE46168E50044261E164A6;232599;Carnaubais
 RN-2402501-057582B4797A4BFA83663807BCC6AD14;61361;Carnaubais
