car;area;mun
 RN-2404705-CCDD61BCB5174F1997378DE5E8619124;137465;Ipanguaçu
 RN-2404705-AFB84EBED46048788D6EC15CCAF0209B;1801469;Ipanguaçu
 RN-2404705-88735648B59246739AED37B1C26D3F10;242184;Ipanguaçu
 RN-2404705-B0756AA46F364638B00F3D638E350D79;653118;Ipanguaçu
 RN-2404705-FAECAC46D6FA4F9E91D6DCFC0F81B94B;43243;Ipanguaçu
 RN-2404705-1A3B494C8DF844F3978D21C23580301C;470289;Ipanguaçu
 RN-2404705-04A2BA028E854B31AFC135372D17861A;2808972;Ipanguaçu
 RN-2404705-DBE7ADB3962E41F1A2F3B036F359CF22;577627;Ipanguaçu
 RN-2404705-99F870D5AD7F489CB591AD2BD8D5685E;703372;Ipanguaçu
 RN-2404705-C98DE6C2F1964CD8B2D38C3F94D034A1;165697;Ipanguaçu
 RN-2404705-677090B6595548E0A7DD67FA4A02F888;149048;Ipanguaçu
 RN-2404705-056C233953BF451B8CCFEB52542CF050;22630413;Ipanguaçu
 RN-2404705-676ABAF69C9C49589E46380DFE6DDD98;229098;Ipanguaçu
 RN-2404705-A648E77767734D57A9737C3B432F113B;229098;Ipanguaçu
 RN-2404705-42F56D2DC41B44B18BAC29573DDB5FEA;237996;Ipanguaçu
 RN-2404705-52B5ECBA7D9140059733176E2EDC61C4;1176388;Ipanguaçu
 RN-2404705-CB3EBABAF83B49518C1800CE72C5ECCF;41385;Ipanguaçu
 RN-2404705-A595C35B935B4465AF04D348D04E047A;126402;Ipanguaçu
 RN-2404705-AFEE6890372B4F3E91ECBCFAB591B9DB;173851;Ipanguaçu
 RN-2404705-690DC8E4D949408CB9A85143CBDA33CD;223000;Ipanguaçu
 RN-2404705-CA6F01D5D2FF461F9C6720208B880E2B;250277;Ipanguaçu
 RN-2404705-0F2DA6E62778496D9CF73D368DE8171E;229224;Ipanguaçu
 RN-2404705-692960C6B7134258BF51D4A887B18B80;74325;Ipanguaçu
 RN-2404705-1BEDFD4B4805496AB03CFEB2951AA4B6;960682;Ipanguaçu
 RN-2404705-FAD758C3936C4FD1985FB36A9CC8073B;200378;Ipanguaçu
 RN-2404705-9129F154F73D47C98924A618081EA9C9;1512105;Ipanguaçu
 RN-2404705-06FF4EC35CBA4B9EBAD38AFDE4C7E47C;1107547;Ipanguaçu
 RN-2404705-378CFE4796614CF6B32F641478E131DC;58333;Ipanguaçu
 RN-2404705-F097B6F17DC24B8BB4CBD595232905FA;0.5348;Ipanguaçu
 RN-2404705-63D21359B7BA4CCD896D8835CFE7D857;85289;Ipanguaçu
 RN-2404705-CEE62E6EA8664135AA740212949ACD21;102309;Ipanguaçu
 RN-2404705-75866E7736E64121B4537E2688AF4638;71548;Ipanguaçu
 RN-2404705-3E0DE413F0BC43F68E4F48E93AB1E029;224535;Ipanguaçu
 RN-2404705-FDA89A69670B41B1BF651575D39C7B55;367710;Ipanguaçu
 RN-2404705-89F497405F0D40F3A8E2D78ED49551B7;173248;Ipanguaçu
 RN-2404705-705D1A0E401F4B97B31632B184C0399F;1161385;Ipanguaçu
 RN-2404705-EE499F30E5304F6F9EA1114058125E0A;1863441;Ipanguaçu
 RN-2404705-45F06233B3DA48DFBA95515E5F6412F1;70991;Ipanguaçu
 RN-2404705-F008F09BA955438F9A233B483D3C8864;112211;Ipanguaçu
 RN-2404705-48DD07F3BF0F47DA99B8C09470A977A8;3801612;Ipanguaçu
 RN-2404705-FDF1E353A0FE4CCAB704B3150BADC36D;2468800;Ipanguaçu
 RN-2404705-7D9156DB2FBC407BB2EF0E4D9166F879;161945;Ipanguaçu
 RN-2404705-A592C4F0A297428990C4D49B2E4E3719;50124;Ipanguaçu
 RN-2404705-28E663F4A1EC413F9030B43D9A5DA1F2;90227;Ipanguaçu
 RN-2404705-9B7BDCE485CA44ED933A3DB74CFE20CA;127792;Ipanguaçu
 RN-2404705-542DBD9E36BB40D4AD8EFE335A24A982;646971;Ipanguaçu
 RN-2404705-16F3DC69AFF247FDAC42F833A6D2C85D;229098;Ipanguaçu
 RN-2404705-B99075BE31C2445C8C267C4B558E2EB1;227125;Ipanguaçu
 RN-2404705-50BEA42D46704616BFAB1B8B2E316D7A;271272;Ipanguaçu
 RN-2404705-AC3BEE77A34F41D3987D96A02777E1E2;786765;Ipanguaçu
 RN-2404705-6E49F84C6FD24CC9A836AD1EFA01F3FE;791160;Ipanguaçu
 RN-2404705-BC7DA9B87AA844F0AFA2D789E9637B2B;222510;Ipanguaçu
 RN-2404705-138FDF657E0E4FF7B5D40EF09504B7C1;1507247;Ipanguaçu
