car;area;mun
 RN-2404853-E64BF039CE8A4DC9AF7A7631513B48EB;79953;Itajá
 RN-2404853-15726535BB55413CB9286629F96ACB91;237443;Itajá
 RN-2404853-65EC820CB1684E4C9FB5E6A57101F148;34310;Itajá
 RN-2404853-39DFEF1B69434087A53C0EB9ED32D8FF;79794;Itajá
 RN-2404853-FD19B656C70B45A99C76E3C838D36880;1441869;Itajá
 RN-2404853-84F12F23614843EEA7FE0A641FFCFE11;905745;Itajá
 RN-2404853-C12AE9D15FF14E369BFDA486F9B30B29;56405;Itajá
 RN-2404853-905E9859DBB74F20B80D2F35F443B45D;281015;Itajá
 RN-2404853-9F5D6167B14348938F20EF951F71A0D4;327607;Itajá
 RN-2404853-69E4477A0C3A4329A0546B2B4331252B;582869;Itajá
 RN-2404853-47F6392BAA03428281BF6958C38517B0;38198;Itajá
 RN-2404853-627361C78FBF47978D83544031097D9F;125892;Itajá
 RN-2404853-19D9CD77B46C43EE957B5E690E5492D3;610353;Itajá
 RN-2404853-ECACC7030C6140489FEEB97509ED9F66;362101;Itajá
 RN-2404853-BDF1C97F67164EB58D327898C4B703FE;355098;Itajá
 RN-2404853-49E5766AC373455080983E1C46770F6C;881795;Itajá
 RN-2404853-A13E530DA74744138569ACCCB587C24C;1006440;Itajá
 RN-2404853-A1A6271193AE45C182D94F582EE2A8BB;28451;Itajá
 RN-2404853-177A82AE0E7940B8A10DA7E2573C4276;0.7866;Itajá
 RN-2404853-43F883270D954578BDB6E2C67302D892;667095;Itajá
 RN-2404853-E0D2C839E29441DB8CEF4452E154D073;1398119;Itajá
 RN-2404853-D8D1244E0DB440D1B916B8DB64EF30D8;88747;Itajá
 RN-2404853-F86365405EE54172B8D451C3B4A18A7A;93886;Itajá
 RN-2404853-B3A885137039498889150D9859383A99;706323;Itajá
 RN-2404853-EE8C2567300B42459B336BABB3024A81;11792;Itajá
 RN-2404853-7231506D443E4E05BB6D82A69AF998F7;791638;Itajá
 RN-2404853-05B20B32234843CDBF7418B3823091FC;498365;Itajá
 RN-2404853-EA4EF85970B44A8FB01C62B2EC0A0E41;377446;Itajá
 RN-2404853-71ED8E4D125B4B6486F93D2D1632D249;759434;Itajá
 RN-2404853-3ECF596328F34071917DA6A2867A00CB;1149243;Itajá
 RN-2404853-D315847532344B34A3354D4D9F344BFA;5553516;Itajá
 RN-2404853-9B9B80D4A4F8465DA028D21BB2544219;144791;Itajá
 RN-2404853-8DC989AE26D9453DA622ECC93352D8D0;512980;Itajá
 RN-2404853-28D62BE12D5F447B80906ECF7349B955;194982;Itajá
 RN-2404853-1B11225962E7484B9F2AA5F3844CE37C;738024;Itajá
 RN-2404853-6C7E43289A204B1AA67B38E626E28AAE;13124;Itajá
 RN-2404853-A2DE77CFC57D4AF489A81F20AABFB341;195363;Itajá
 RN-2404853-EBF75B7A3A384F0089E87D6CE8C5E344;2013378;Itajá
 RN-2404853-B1E5362FD4C8474EB2BD21E6837ACF12;51382;Itajá
 RN-2404853-835B11A8C3DE44E5BABE1930948919BD;0.8957;Itajá
 RN-2404853-86C4ADAEE6EA4B8890B201605DA5A4B1;238834;Itajá
 RN-2404853-732306035F384FFBB5C202796128EE9B;186763;Itajá
 RN-2404853-DBD4725BF07340849EDDF084FB2F293E;44642;Itajá
 RN-2404853-5A75344F76B548238448F899E5E32D89;80358;Itajá
 RN-2404853-095D6B3A72F54E49BBC78A1A3914AF6A;84423;Itajá
 RN-2404853-9996E53EABCB44A4808E668AE022E14E;344566;Itajá
 RN-2404853-CE306A8493A64732A5A199951D8F6636;525803;Itajá
 RN-2404853-25298FF72AC74BFDB903C2773CE1C0F6;508105;Itajá
 RN-2404853-4DB76B38FDE44AB28F48BE5C5F481DF0;482219;Itajá
 RN-2404853-3EB8DF481C824C0CBD4904839E470F77;1879241;Itajá
 RN-2404853-1152FA02E73244128DF9EEF38FB4B1FE;118561;Itajá
 RN-2404853-FD83EF1F045F45408D095968EEF5EF68;26614;Itajá
 RN-2404853-DBB347FD6D354EDE869AF54FD336EF94;38174;Itajá
 RN-2404853-C6D20D12FC3D485DBE5F8C9313A64C7C;207547;Itajá
 RN-2404853-F14062952CF24F888681B97FEF7CA565;186874;Itajá
 RN-2404853-108397C414774975B52822E52B1561B5;173406;Itajá
 RN-2404853-C26738B89F824B65BC2E66C5FBE7C8A6;313560;Itajá
 RN-2404853-02671EE27C8B41DBB71183F52F5C1BCE;681602;Itajá
 RN-2404853-B7BF4D2986F44D03872140A3B24EBB00;186546;Itajá
 RN-2404853-C5A7CB82DF2A467A8EF74D408C15B63C;0.7473;Itajá
 RN-2404853-719DCD8B39FA4CA493F4176424AA1254;866694;Itajá
 RN-2404853-CB09CB766B49429099C0B205E80DAEC5;24759;Itajá
 RN-2404853-E864C30B7BE64B209A38669D8E7C7685;502534;Itajá
 RN-2404853-09FE01FDD2B04D18B2D7AD4223C2B9FC;6614775;Itajá
 RN-2404853-AE9BC7B45FB34A2294C58B0844AD1C81;579440;Itajá
 RN-2404853-F2477CDB4CA0443A8A13E2FBD875CD4D;21266;Itajá
 RN-2404853-6242ACBF8985413FBEC40F718A8EDF82;35242;Itajá
 RN-2404853-30D5CF47063447E18D2EDA872819CB06;1422640;Itajá
 RN-2404853-960CF5AAF4DB4A09BFE13E808A695438;1710038;Itajá
 RN-2404853-2BE343F539554041BE365256A3E9746A;35078;Itajá
 RN-2404853-3D326F03F4594BDC9D4DE9C2BA949C22;70164;Itajá
 RN-2404853-B0F26FD81AA249D78A921924709AAF70;1408702;Itajá
 RN-2404853-BF78DCFAE3894FA783CE668ED845D555;1568614;Itajá
 RN-2404853-CA912F547DB14594BD1ABBC9B906C70B;28978;Itajá
 RN-2404853-231DABF363BE42C6BEE366FC95491E23;133145;Itajá
 RN-2404853-53A058CD748440EBBD0634B07487A702;508105;Itajá
 RN-2404853-B4E5146973D34CBD99E9459A9D383402;192177;Itajá
 RN-2404853-6299FA64A15A4B8591C57E0B91A8A85C;550519;Itajá
 RN-2404853-8B85F2A8803C4FB2863F7A765991934C;490113;Itajá
 RN-2404853-9E4A76035F3943B8ABA4E26A806B6C0B;433017;Itajá
 RN-2404853-33FFE35D34C84EB08BC605929CF9F756;203702;Itajá
 RN-2404853-A63546FA2E274EAC9FEB189DCDFA643B;149719;Itajá
 RN-2404853-1C75F8E41D824684A943F01895462F15;186329;Itajá
 RN-2404853-B560809C3D5342C7B1482582E5E99E98;72227;Itajá
 RN-2404853-AA0EE6552D404D538CBB4D8F97FDE83F;300973;Itajá
 RN-2404853-44CBBEA5FEB4442C95FA8A816C4D798B;70707;Itajá
 RN-2404853-1F89629CA3364C34887B0D300F7E7A81;184642;Itajá
 RN-2404853-3C5BD753898C499F914EE7920A1FDCB0;498365;Itajá
 RN-2404853-A49A70ACDE7E43AEA9073795F717D3FE;343232;Itajá
 RN-2404853-587817DD5F5C4C5994229FBAF9FEFED4;0.3818;Itajá
 RN-2404853-A75213843B4D4F0F948373FAC23BF235;71467;Itajá
 RN-2404853-3ED437D3D6DF45898BF6257C76AEB5AA;72994;Itajá
 RN-2404853-B6D37F80909745CDA68F06C8C94FD2C6;754909;Itajá
 RN-2404853-74104789CEA8424B9FC585C6C602946D;23007;Itajá
 RN-2404853-5FE264687A0A49AF892A617A22E44D29;699310;Itajá
 RN-2404853-477B45631086490DA46662D95A10A32C;417164;Itajá
 RN-2404853-89C419DCE3254DA9996CA2329BCD54C9;409551;Itajá
 RN-2404853-1742CC3E406D4ED0A46FA0E167ECC0CF;61181;Itajá
 RN-2404853-FA57AF3E740B4F6EA4797DB785D2C672;103300;Itajá
 RN-2404853-8D4A18F359B14DE585BAF6C842387497;403898;Itajá
 RN-2404853-116A288F081B4693A0A2DB134B8DF7C0;569939;Itajá
 RN-2404853-C981E1FCCCB24452BB8AFD5E72E7FA73;435509;Itajá
 RN-2404853-5794C1239DFB4E36B54C62393653DB02;54408;Itajá
 RN-2404853-01D34FE10D9E4354A934516F89B998F4;261251;Itajá
 RN-2404853-90E6464A71E24E9E9FC6CE547341AC86;92543;Itajá
 RN-2404853-5DBFFE52571C48069BC91104F50C806B;188801;Itajá
 RN-2404853-C8392B32138743509D9FE58E1D682F0C;48195;Itajá
 RN-2404853-6158CB9CDFE143EB85EC348EA052FAA8;0.7833;Itajá
 RN-2404853-FE4D12F7C8D5419D917F55BC0C987AD8;132441;Itajá
 RN-2404853-977A31EC149A4D15B05235C1753A6FD6;16589;Itajá
 RN-2404853-8AB2CF2E445B4A28818DBAA865D95C3F;61317;Itajá
 RN-2404853-8374B41901EE45E989CF4CC15ECCD3DC;54629;Itajá
 RN-2404853-99658246C41244D5B894DEAD7BD2C412;54739;Itajá
 RN-2404853-4122CAED2CF849EA9D225DB78F41D370;146567;Itajá
 RN-2404853-5454787B0B8D42459E3378FE43508EFB;59757;Itajá
 RN-2404853-0D1BC995DB3D4316BCC70BC383BC24A9;54518;Itajá
 RN-2404853-2BE45F6ACB3D4C5F8337668EEA1F9FAB;344566;Itajá
 RN-2404853-C47829C7846D4FF2BA078A07438D84B7;72015;Itajá
 RN-2404853-DD1543D3D70941BC9AC61D840AC6206D;54296;Itajá
 RN-2404853-8EF02D2E3C3D4408A5F2FACD1AEE75DE;166911;Itajá
 RN-2404853-BC9215A98A5945BDA7655576C65F3891;0.8226;Itajá
 RN-2404853-34213FEC51CB4DB3A3B1062A8E5C2F81;32789;Itajá
 RN-2404853-4D448EB773AF4C559A9435D8A38CF2B0;36593;Itajá
 RN-2404853-20B70239D7C5480098340DA40614501D;42909;Itajá
 RN-2404853-67292C635C904A919925ED88C64C656C;688301;Itajá
 RN-2404853-BB15B10543CB45128B2A7BCBE5FDC734;151949;Itajá
 RN-2404853-FC46655F55814C79A90E71A05E4CE975;710395;Itajá
 RN-2404853-87634024BE38471C96383DFED4411A06;98409;Itajá
 RN-2404853-5EBBA3AB00ED45B28C8EEE12B20F6450;51799;Itajá
 RN-2404853-25C7F565E61148FEBAD43F6A6E02363C;11290;Itajá
 RN-2404853-B0C0B50E302D4163AA4B6086C5DE6C09;0.1782;Itajá
 RN-2404853-2F5E4774D8E844239569274FE874C829;12348;Itajá
 RN-2404853-DE191C9A70B549A1A8169B3E1C7FD320;129227;Itajá
 RN-2404853-FB078D2ED3E84ED39DE98AAABEB7C297;35776;Itajá
 RN-2404853-F96641AF10A741DF92619B20AEF759D9;696831;Itajá
 RN-2404853-93C13059D0E44C1C919AD423C5D44C69;870350;Itajá
 RN-2404853-F61CBE012307414FBB4A987FCC98325E;436378;Itajá
 RN-2404853-657CE23B28514EFD83D8D44065D88904;245736;Itajá
 RN-2404853-DAB80919052E44B88DD05E73EA9D94BC;51820;Itajá
 RN-2404853-34535CC596B44191B64BFCCE8FAFC8BD;65246;Itajá
 RN-2404853-420783DCE2B2494F812FC02BE53EC999;706323;Itajá
 RN-2404853-1EF1ED1AF4F24832A446A9BEEA105B14;569267;Itajá
 RN-2404853-68C8E0B7E0F94BAF9963ACA5D7ED2067;1210170;Itajá
 RN-2404853-15AA284561974D1B99E0974D4D066BF8;569267;Itajá
 RN-2404853-ABE202C883944E0BB4679F94D96B1BC8;1210170;Itajá
 RN-2404853-1E5A5B2BC3CA46F48848D3458A20DD99;791638;Itajá
 RN-2404853-25D37D0B149C46D98AB5AB6D126B2554;237234;Itajá
 RN-2404853-FEB04BFD790D42A798075CFFB1895A6E;237234;Itajá
 RN-2404853-D99D2D1ACB314B92815CFCC3FF4302AA;24818;Itajá
 RN-2404853-56CC388E571243BC9A71BA90A9DE7DA0;543280;Itajá
 RN-2404853-06F99326595740F8B7969003C7D7D1E0;0.4577;Itajá
 RN-2404853-E189D10D72244B1BAEEC93EEA0CC0DCF;59854;Itajá
 RN-2404853-CFBF920B6DEC4824932811C4A168349E;440335;Itajá
 RN-2404853-0987C302623941A4BD043A3F7E01931A;360646;Itajá
 RN-2404853-8D96E4E5A0E149058EE4CF2DC3EAD52E;345106;Itajá
 RN-2404853-C984316E38F84E4C81D7120F848384EA;1981343;Itajá
 RN-2404853-B25BBB0E764A40E3884F6B49581A496B;1793968;Itajá
 RN-2404853-56CACF26B9A04CA8874AA107796C19E3;16881;Itajá
 RN-2404853-43A2375BBE3E4DCD8C44E58857CA36C4;47834;Itajá
 RN-2404853-5EEC99E0828642C5A9C3140631833171;2188747;Itajá
 RN-2404853-66B003254C1147DF98C6C16294FDFAF3;82106;Itajá
 RN-2404853-80466176D5EC456CA4403E999CCA5A3F;203702;Itajá
 RN-2404853-131034CB47E346ADB8403EAAFDFB40D7;208436;Itajá
 RN-2404853-1EC6FFA59436467B9C7ACE516477C2D1;36768;Itajá
 RN-2404853-8EBA769C77824341B719CB7FFE4EC2F0;0.9658;Itajá
 RN-2404853-A7BBD4659CDB4CC282D95D149B4ACE4E;146567;Itajá
 RN-2404853-148DD51F3BC349158456FACAC6A53CF8;0.6468;Itajá
 RN-2404853-59CC0C77D4F74B638F571DF897AC8762;36422;Itajá
 RN-2404853-CC3D91FDEFE8420D8A078F2FD3A8BF31;24196;Itajá
 RN-2404853-51690855F2454B42865BF52B492C71E1;174689;Itajá
 RN-2404853-7502D4801CE6454DA53A3EF20CBB1329;29493;Itajá
 RN-2404853-5F16F5868D4F43849F885AB6D8596BD3;1008590;Itajá
 RN-2404853-E914E2B264D64BE08AF898E9F2748ADA;1382485;Itajá
 RN-2404853-D1CA70918AD148E189879C341346C365;117836;Itajá
 RN-2404853-E839847A5A704521B0DC4208D2E165C5;344836;Itajá
 RN-2404853-2E9A9380F31143DFB583886D7AB6E5C5;578766;Itajá
 RN-2404853-7F5DDA4741D043A68665B72946C311BD;170456;Itajá
 RN-2404853-4D4E95C4A3AB4136919B470D819A0756;51645;Itajá
 RN-2404853-CA37807A875849D09F00DFF017C08E45;0.9092;Itajá
 RN-2404853-764B200AC248474A9DC8435A7325D515;255292674;Itajá
