car;area;mun
 RN-2406106-9E7EE9C43FC244A3ACBA2F5C35608839;558849;Jucurutu
 RN-2406106-6A2C8E69F6584195AADD38262BEF17F6;1057221;Jucurutu
 RN-2406106-68556E2935914A50848003E58DD56E79;14605;Jucurutu
 RN-2406106-65E7FF3849534BC2936B724AC7248AEE;21040;Jucurutu
 RN-2406106-858EAC30660F444BBE6511C11C063B27;25133;Jucurutu
 RN-2406106-113E4F2A8D65453595FD73EEBB52CD7B;375153;Jucurutu
 RN-2406106-22E7FC7E33B14166A800A3736069E952;203965;Jucurutu
 RN-2406106-B74AF609A3BF468FAC3B87C1853D68F1;44037;Jucurutu
 RN-2406106-FC8EEA9EBAF2464DAD69BCECBA2952CD;33136;Jucurutu
 RN-2406106-CCCF5AE6B2F3487DBB9F56792968D8C0;3033281;Jucurutu
 RN-2406106-B0D94049D21D4D2AB2FB589A8EC234F6;101543;Jucurutu
 RN-2406106-C2AC79C9F7FD4FE1B7F01FD3AE2F0AA2;898322;Jucurutu
 RN-2406106-1CC7B4E1A8004446A0390982534DC52C;348954;Jucurutu
 RN-2406106-0D7464779A1F4A1E9FD3D8C65E72F16E;257414;Jucurutu
 RN-2406106-664A4078AADE4C8899A972EE602FE006;1394365;Jucurutu
 RN-2406106-08FD4FE1E9E447F8BF585C4A4FA2D4D8;207505;Jucurutu
 RN-2406106-FCC8CD8D70BA40CC933443745FC842AD;16810;Jucurutu
 RN-2406106-8AD89BDEBB0648CEB2E95D99BD6E5D16;30539;Jucurutu
 RN-2406106-6CD262C6857E420CA3947A15FB3EA4A7;11041;Jucurutu
 RN-2406106-51495D779ABD4E6B9EF334A702662F99;37033;Jucurutu
 RN-2406106-04851B9F5AC946DEB470B9EBE1F4B931;54313;Jucurutu
 RN-2406106-4AA910DBD4AA49D390FF2AFD958983C9;42032;Jucurutu
 RN-2406106-FBB3A2EF94D544188DF0C903D58CDDAD;380820;Jucurutu
 RN-2406106-0080B5A8F8F8456E9353B1687714AFE3;41335;Jucurutu
 RN-2406106-EC30BD2BC2164C1984B70CF76B801A1E;1453933;Jucurutu
 RN-2406106-65EB91D261184936A09C705A03D49A4D;1457408;Jucurutu
 RN-2406106-8B92B4D123BE4B0C8B4734B2A9C179A5;300809;Jucurutu
 RN-2406106-56EE1BA7E1674AB7BF8D79B33CB209F9;200758;Jucurutu
 RN-2406106-6C7C17B1712343448BCD271B97472842;43870;Jucurutu
 RN-2406106-F90CF1A8C2DE48C190279F4AF7FA6370;416310;Jucurutu
 RN-2406106-1715767D8E06413CA135F2CF4871FE8F;103048;Jucurutu
 RN-2406106-22F734F435C44BD6A0FBB2AAA3A32DAF;1059672;Jucurutu
 RN-2406106-FD04262CE82F4BBAAACBA8C6CFD6DBF5;126660;Jucurutu
 RN-2406106-10329AB57152420F8F4E7073200B20C5;467069;Jucurutu
 RN-2406106-9B0D30111EF7427EABE89DE7DBD550F0;90416;Jucurutu
 RN-2406106-72C3A1997D3F4BAA8C0A1BFB8CD4BF62;757228;Jucurutu
 RN-2406106-94E59503E74546368C1E045A54037ACF;295733;Jucurutu
 RN-2406106-945F4FBDB8FA4F86858655AF2356BECE;0.5007;Jucurutu
 RN-2406106-E6DC640E46F242F980CF96FDF0F9A6EF;40073;Jucurutu
 RN-2406106-23C4FC7DFFF14F219FE4EF5E3BA3D2AB;80045;Jucurutu
 RN-2406106-141A52C1FD9546BFB459F14A030C94B2;234464;Jucurutu
 RN-2406106-9F81C307B3CA4EB8BB96878012CE4DD3;559165;Jucurutu
 RN-2406106-4A64DB84EED34D3E9DA6825D32BFFA57;518690;Jucurutu
 RN-2406106-6F399AE766814BE99E2AB89022BCE123;831324;Jucurutu
 RN-2406106-8901359D8F4046B5A43B9776E9AB0ED2;558543;Jucurutu
 RN-2406106-205364251F334DAC9436B71018719193;537148;Jucurutu
 RN-2406106-C9FE02BB5FA14C229F837B4DE2345DCC;702613;Jucurutu
 RN-2406106-594DFEB42612462FA618C16F44E5B602;146893;Jucurutu
 RN-2406106-1CBCFD6FA7EB45C3AC09432D3F585852;0.5950;Jucurutu
 RN-2406106-6006058FB4F24A01A23193FE47890E19;1732188;Jucurutu
 RN-2406106-148E1772393F4936844F92399BEDD49D;160442;Jucurutu
 RN-2406106-0D29076A510643B9BB28B8106FE91D98;40211;Jucurutu
 RN-2406106-F13F2621AD5C4A218E52826C749F0971;0.7750;Jucurutu
 RN-2406106-4E265CD9427C43299E94E3BA250464E2;163605;Jucurutu
 RN-2406106-FB171828BF854B1EBA1FDE3B252480D6;96321;Jucurutu
 RN-2406106-7BFFB5545C824956B3E851A0688CA13F;794718;Jucurutu
 RN-2406106-0F942E2774BD48DAAA6A157BB9726DE1;0.4396;Jucurutu
 RN-2406106-4F6E8B2E3CDC442F9F2C469FC6EFA245;0.3378;Jucurutu
 RN-2406106-FD43415A5FD34ED987891840A7B28F05;484392;Jucurutu
 RN-2406106-C5D98AF4D87A4E49882A4A78B12B25ED;20053;Jucurutu
 RN-2406106-870FC079F79948A59B4D7985E46FDE92;103877;Jucurutu
 RN-2406106-A184B3F3498046388C8A4B4424FDA00F;10539;Jucurutu
 RN-2406106-463A3EF342A44B5786774D85C8B63E92;0.6735;Jucurutu
 RN-2406106-D2C8154F693D48D29D98A69E7958A4DC;14051;Jucurutu
 RN-2406106-DF50C9C32B63454F803ADFC951B0C334;49793;Jucurutu
 RN-2406106-FAB7DD0AABD044BABE906628D51EE362;0.8487;Jucurutu
 RN-2406106-477A4228EF8942F2BC7BB85E62BCBDD4;539689;Jucurutu
 RN-2406106-151B20C4256B4C95A8BF5A4ED8550166;55485;Jucurutu
 RN-2406106-009D168B4E064DF6BB918216E78010F5;986999;Jucurutu
 RN-2406106-2E95D0335B604E14BADBE6892BBEF940;108061;Jucurutu
 RN-2406106-F4FD9B89EEF94741A61CE3BC9628FC4A;59712;Jucurutu
 RN-2406106-D086C0BD0F5449118C27B43EFFD00750;549753;Jucurutu
 RN-2406106-C09453B774B64EA0ABFA14685F9B37CB;1019067;Jucurutu
 RN-2406106-DEB1ECB00316401F993E55241C5EAEB8;53256;Jucurutu
 RN-2406106-87C95D0CA0944225AC78C4EA2E60C1C7;14388;Jucurutu
 RN-2406106-48EDFCB1540F4D448D18051CE95DCCA4;65517;Jucurutu
 RN-2406106-B1557F74CF254F4DA9F5ADA93B976C2A;13751;Jucurutu
 RN-2406106-0A96B371C2EF43C59C1CD367BB2C18A1;0.3338;Jucurutu
 RN-2406106-7099D5717CA344DBA21FFFB0C7598921;505828;Jucurutu
 RN-2406106-59169467746B4BECAEC25DFE9E401882;36650;Jucurutu
 RN-2406106-12CC6B10A33144A1B710DA5C6D979577;21998;Jucurutu
 RN-2406106-14C49D861623464DBA5D1E582D345E87;124380;Jucurutu
 RN-2406106-493E8B8E67B84551B60CDAA9FF294E42;56874;Jucurutu
 RN-2406106-EADDB16F61334F3EAC252AEB425FC0DD;189446;Jucurutu
 RN-2406106-E2BE75171425435B820657477CC71A19;3162171;Jucurutu
 RN-2406106-3C16D4B81D6543FCA3A697A788ECF455;387560;Jucurutu
 RN-2406106-DF804F229E9C4AA8BEA674BE2A6EF1A4;842512;Jucurutu
 RN-2406106-10D7A6FFED284A26919C6CBB0BDEA2BD;4265832;Jucurutu
 RN-2406106-0E9B6307CFA84FA7886EC025447433B8;41151;Jucurutu
 RN-2406106-12FD48C54A0448128D43E8F21DA3F8D1;420965;Jucurutu
 RN-2406106-69F9C488F93C44948A28FC74AB0EC870;374132;Jucurutu
 RN-2406106-C04A4F576EE645ECBEAA118EEBD84B81;502307;Jucurutu
 RN-2406106-39F74084A79C46818EB99A84BC946724;0.1383;Jucurutu
 RN-2406106-8293653DDE104D3683A91E314DCD91CE;1576444;Jucurutu
 RN-2406106-BB994769834743608FB261CDE2FBD240;1966040;Jucurutu
 RN-2406106-E18F25635BE64F5D8C31ADF1FE0E94FD;157711;Jucurutu
 RN-2406106-809679AC50074D2DB57705B4D62C686F;167991;Jucurutu
 RN-2406106-43706924FD8F4C03AF921FC7E064A6E8;54390;Jucurutu
 RN-2406106-251DB7EDBED74BD5836F287CDACE5F83;1403918;Jucurutu
 RN-2406106-C9048C046ABA44B5BB66DAD8E1984DCE;145795;Jucurutu
 RN-2406106-54C6D74C48F24D8BA7DDBB0C1A59409B;424265;Jucurutu
 RN-2406106-FC944FAF493D40D4BEF01B6C477FA0B3;0.9981;Jucurutu
 RN-2406106-C09C3ECDC9474C8DB5B936142B654556;0.8548;Jucurutu
 RN-2406106-698388C8C0A442B5B3C77D69DC09EC9D;11644;Jucurutu
 RN-2406106-4883A91F5F4C497DA18506CB2BFBFC3C;234045;Jucurutu
 RN-2406106-759E7CCD3EEC4127BCE7015E4891042E;956852;Jucurutu
 RN-2406106-D1DCA776854C4D619926B4A7C70FACD3;436428;Jucurutu
