car;area;mun
 RN-2409902-1A18C9AD8A3D404EA6EFB941015FCAA7;3806753;Pendências
 RN-2409902-1D4ADEC8664A458D8738527DBC405359;1686051;Pendências
 RN-2409902-1E9908573368443D8AF126510ECED589;10456;Pendências
 RN-2409902-80A968B50C084970AFC04B10578C97A3;303448;Pendências
 RN-2409902-71607E41AC534FBB8C8D2B1E5DE19235;978401;Pendências
 RN-2409902-155D11AA0FFE42E3A19F0BB2F9F7C8EF;564302;Pendências
 RN-2409902-FDE2ED137136419FBA27C9DEECA1A4AC;0.0187;Pendências
 RN-2409902-1E8D6AE05A2140F2A7D76C39562A2257;729884;Pendências
 RN-2409902-E7783E80D05046E8A1F97C81D5C512B0;634460;Pendências
 RN-2409902-295DF470E998429BBD9E0EA487263E76;0.0819;Pendências
 RN-2409902-7D1D550BFBE749B49AD1EC89EE3F2808;312738;Pendências
 RN-2409902-FAA618410198456789BB49AD6D21E98E;323953;Pendências
 RN-2409902-8C3945893F99451C99F91F622E332C6D;138212;Pendências
 RN-2409902-2A1FC03EC199441BA6FD55CA1296477F;49477;Pendências
 RN-2409902-00F8827DB3664FEB935BDCE98B406616;67684;Pendências
 RN-2409902-6332B251232A4A45B7BE939FD5A9BDCA;0.0526;Pendências
 RN-2409902-AE7BF6363D2F4D30BC7F6A08729490AC;0.0540;Pendências
 RN-2409902-89D0CDE1712C4284A86465F5A1E3B45C;46268;Pendências
 RN-2409902-E6DE5E19F06345DC83D99D8BA07805E0;2733142;Pendências
 RN-2409902-1D9F05AE402D4954B1D4CB85D05ED38A;37583;Pendências
 RN-2409902-151EAAD1D8B24302887BB49F74AF1D14;176723;Pendências
 RN-2409902-D70E01A6FCCD44E1909EAC64038DE5CF;253533;Pendências
 RN-2409902-EE2BAD6F69404909BB278CA6F6E29306;54282;Pendências
 RN-2409902-9F0EEE7B3A294DB183C71020865DBFD1;150818;Pendências
 RN-2409902-05E326E7D6DD46E1B00200E26655F1AB;306681;Pendências
 RN-2409902-EC12D27C7A11474989757A7C631A841F;227916;Pendências
 RN-2409902-0927273773714607B43CA9CEECDC22C3;0.0159;Pendências
 RN-2409902-23CFF66D1065425599C01898CD416522;359636;Pendências
 RN-2409902-CD66BFC4C2A44178809C555005BBF29B;1035387;Pendências
 RN-2409902-03B14D3D45154025A970026934323C46;13555;Pendências
 RN-2409902-B32D31A775554F77897D3B85EEA2A424;24695;Pendências
 RN-2409902-48626FBC8CD1473998A175EE644063A6;2309936;Pendências
 RN-2409902-C12EA64E8CCD4A98AFDBEBEA6E095E56;924058;Pendências
 RN-2409902-2C48CB4260FD4DD9BA4B9BF4D6DD4C65;90297234;Pendências
 RN-2409902-CE8342E948B0408C911C830BB036EDD8;225239;Pendências
 RN-2409902-5279712BE5BC40FCACDF3DDD2F595013;1067491;Pendências
 RN-2409902-D5197274718646FBBB05F43866CD5F39;740164;Pendências
 RN-2409902-728A31CD2BAB4121A0F994B769884CFC;259892;Pendências
 RN-2409902-06F4E496D517400BBDB0D7A7FEA34798;19274;Pendências
 RN-2409902-6C2B736A6A1744F6984AE2DD514AF437;2146327;Pendências
 RN-2409902-9C4E72CEAE62443E942C25F0F2A0AE84;1017128;Pendências
 RN-2409902-E79B9F3EEBFD48D98E094F36ABA4D359;31555335;Pendências
 RN-2409902-4ECD967C4548408E890C845D2A5C6C9F;697392;Pendências
 RN-2409902-00BB792DA516435291FE7BB0F2C95E9C;166058;Pendências
 RN-2409902-460E3B3B713D499480CD116DC884A8C9;4572222;Pendências
 RN-2409902-44F60C42A55C4B8E9CB106553CCDCDF4;62749;Pendências
 RN-2409902-E82F400BB6434398B21C5351FFBBD67A;15438;Pendências
 RN-2409902-DE6C04C791054DD3870A4842EB864B0E;147890;Pendências
 RN-2409902-A655EB9E1CC2408FB7CC4C73091F5696;49802;Pendências
 RN-2409902-D0DD561271634813B86ABBF559E7E2BF;51136;Pendências
 RN-2409902-0838CDF82C0049D6A9A94E58B59033E5;292475;Pendências
 RN-2409902-DF03EC17309742C4A4AFD37E598CDA81;494564;Pendências
 RN-2409902-A898DC18E7E04BFF8059EF979E463756;132696;Pendências
 RN-2409902-09933815CE524F50B2658210A5B00196;110248;Pendências
 RN-2409902-B453D4482716407C8CCF0E58744B5E90;60377;Pendências
 RN-2409902-16E476E0FA024196B5A5776914B7E298;13094710;Pendências
 RN-2409902-51BCA38D9F4E4E91AA248CC93D281299;605807;Pendências
 RN-2409902-6FD0E1D613D647C4B8767C24AC3B616E;232607;Pendências
 RN-2409902-F745E8F7C9F243DC9CD4AE432656CBFA;12704921;Pendências
 RN-2409902-5479DFA0AFD24B2FBCB2BBB062D2EFC3;112532;Pendências
 RN-2409902-70008B29FB1742FCA9069D8F7177A260;305477;Pendências
 RN-2409902-B4FD9F889434450CB656F354028294A8;69567;Pendências
 RN-2409902-6441880598754D5BA9DA2171D39F55BB;256440;Pendências
 RN-2409902-5A0EB254B08744938D5CEAE493F6E58D;171754;Pendências
 RN-2409902-BB5D786FBBAF41A49FA8CC01390A327A;0.0293;Pendências
 RN-2409902-C9DDEE024630484F96B38C20AAF4A010;0.1063;Pendências
 RN-2409902-228E7BFE19AD441FAFB9AB36C616831E;3468516;Pendências
 RN-2409902-CE3C66EDB3D045E89B299D39BF31CBF8;833105;Pendências
 RN-2409902-9B2C80DB935945D8941E15DB4F4EE345;285032;Pendências
 RN-2409902-7D2DFE4571E14ABD95D570253516E6C7;310246;Pendências
 RN-2409902-4903CA2601414213AB3A03230631A9FB;237402;Pendências
 RN-2409902-5FEC21567BC5488BB98FD213D9700E81;320047;Pendências
 RN-2409902-C179B02A0B3F469EB3CD921268824012;34219;Pendências
 RN-2409902-6680EE42863B491CAE6C48FD9D49D89D;34219;Pendências
 RN-2409902-4A340C88EF8C44DA973954986ADEA4C7;41407;Pendências
 RN-2409902-55547047611D4AA5847D33B619DF03DF;31790;Pendências
 RN-2409902-88AF6638CF714220A7DB784766431A68;163143;Pendências
 RN-2409902-B6BCEAAC7E604EE6944361DCE9A7DBFE;190173;Pendências
 RN-2409902-749328CBA80C41BE82F71E51BCB8E632;1868913;Pendências
 RN-2409902-F0BA7D27F0DE401089DD08C850F37247;0.0535;Pendências
 RN-2409902-FC693BA42AA74691955D7B352EE137BA;0.0525;Pendências
 RN-2409902-6F81FE2E363A4A30B071AAFA21192222;486426;Pendências
 RN-2409902-87449F2D8774482F895FBA2753B01681;167225;Pendências
 RN-2409902-2CCBA527E136404683EECEA73CA25227;232622;Pendências
 RN-2409902-2FE657BE06804B6990DCA1FB7A608E48;165800;Pendências
 RN-2409902-8B88A31761B748B094C9ACE7200ECD24;363687;Pendências
 RN-2409902-5F8BBC4916704353850034FD17166316;443341;Pendências
 RN-2409902-FD81B4907E58485B973F768308DA6019;320952;Pendências
 RN-2409902-9464E4FA34C84C1898A4C28F78A7810C;1238277;Pendências
 RN-2409902-8E6FE4AAAF744DB7B9DCE60A2520FE27;37426;Pendências
 RN-2409902-7C226C99189D4D6D8128A88DF49625B4;121236103;Pendências
 RN-2409902-D1BC55F6A5694CFCB14DE33CDB2C3D8C;201501;Pendências
 RN-2409902-5F61782BB80C4227B8B7792EEF71D0D0;43719;Pendências
 RN-2409902-2502AF29D6304F37BF51E4FD8D3DF130;51823;Pendências
 RN-2409902-21025FCBC06647BCB73CBF89E1305FD2;17981;Pendências
 RN-2409902-1E68C3DDEF3D4C0A9EEBB5453A21EDDC;0.0255;Pendências
 RN-2409902-ECC06F646CE442A8BD20CA5C785CB97C;1768666;Pendências
 RN-2409902-3D52D9CD51AB422E88D366496E4D4720;100062;Pendências
 RN-2409902-F1C8F52803A348869D0AD1B4DCC4E460;303094;Pendências
 RN-2409902-0B0D592BAE094C3EB4A6F166095A2DFC;491759;Pendências
 RN-2409902-A29705A92ADA4B7BA5B5085BA530A6D4;236006;Pendências
 RN-2409902-AABB50DD389344D48B94ED57A9C74D7F;185198;Pendências
 RN-2409902-2B0251DA59314F0B9210BF2D3626385A;321008;Pendências
 RN-2409902-D0C57391687643B593705BEC6FDF2CCE;22035;Pendências
 RN-2409902-F423EC8490E547D6868D427A5E942199;364712;Pendências
