car;area;mun
 RN-2410256-1622BFC8E34B46DAB11BF7971846BB8A;32174;Porto do Mangue
 RN-2410256-7131802F90F34A3F8D4FE64AB4233959;0.0865;Porto do Mangue
 RN-2410256-891B466C74114955AAB5B9D1BFA5F712;0.0843;Porto do Mangue
 RN-2410256-EAAFC61CDCCE427BBF95117BFE45D9AF;0.2766;Porto do Mangue
 RN-2410256-736860AED08E40019F51AC708E6F87CB;0.7066;Porto do Mangue
 RN-2410256-17A5CA2620534E6AB1CBCADA06E73C30;0.4939;Porto do Mangue
 RN-2410256-3A1C2304CEFF4FFB86EE3D5D5BCC1A3C;0.0523;Porto do Mangue
 RN-2410256-74EDFB71B458446FB5714AACD5D3AF07;0.3143;Porto do Mangue
 RN-2410256-D996D46E0DF548A19926AF0AAEF21B10;0.3148;Porto do Mangue
 RN-2410256-A6EEE829F82B478AB962C48CDD5138A5;0.0606;Porto do Mangue
 RN-2410256-236B57A0533144A184B05619984B5B52;0.5678;Porto do Mangue
 RN-2410256-90F6573F59C44610945B596620B29447;0.0243;Porto do Mangue
 RN-2410256-DA3EE4A0E511458DA4E968C12403F533;17526;Porto do Mangue
 RN-2410256-8D6D7BF005E1470C94E7D1990C709D1B;12495;Porto do Mangue
 RN-2410256-0AF48D335A7148C485E4C869F65173A8;0.0703;Porto do Mangue
 RN-2410256-E640204BB2F84A80AD56B1CE40186BEE;14679;Porto do Mangue
 RN-2410256-03E64C5128DE42FF8BE58B1A3991F925;64543;Porto do Mangue
 RN-2410256-1488DDB31F314E4699FEE0D87C3E9F1D;14903;Porto do Mangue
 RN-2410256-8561EF7D376D4985A24C69E96A3611EF;0.8670;Porto do Mangue
 RN-2410256-12DF4F3BF50C4D7BBE292BA1B9067B67;0.8745;Porto do Mangue
 RN-2410256-37B1E4E1DF9141BBA29095AFBA21BF55;28387;Porto do Mangue
 RN-2410256-AEE5677FBA38495CADFEBE9832C88A52;0.2196;Porto do Mangue
 RN-2410256-26D5C9B9D2F04A48ABC3E47C72B8F137;0.4057;Porto do Mangue
 RN-2410256-1F344AC8D4B841EE9ED80F72669DB720;0.1661;Porto do Mangue
 RN-2410256-91C03806762544748AB780D35520A18B;15140;Porto do Mangue
 RN-2410256-4DAC22D356B044628ED523DD7DC0F34F;12911;Porto do Mangue
 RN-2410256-41F4148921FC4467A0259286CBA8969B;23379;Porto do Mangue
 RN-2410256-2CFE5140F4F24DADAAE0579B8AA44D33;0.2193;Porto do Mangue
 RN-2410256-3D38140D82D841A2A03DC497C1CC0A94;0.0747;Porto do Mangue
 RN-2410256-D688683E7F864DF3953488ADF6BE8CAC;28739;Porto do Mangue
 RN-2410256-D04FCC3C98844DCF8DF249B806F594A7;0.6804;Porto do Mangue
 RN-2410256-D443DFEE196A402E82837741A4269079;0.3720;Porto do Mangue
 RN-2410256-C06A0F5C40AF4D82A70F8CCBC44018CF;37317;Porto do Mangue
 RN-2410256-3E8604AD9FF04D50B581A50FE09353C9;289992;Porto do Mangue
 RN-2410256-DD09299D71474D1CBF304A662C8B3068;0.1377;Porto do Mangue
 RN-2410256-D26E7EFD32054059A3250B794C36120E;17680;Porto do Mangue
 RN-2410256-14265B4F0D6F43D587C6DCA0E660976C;0.0692;Porto do Mangue
 RN-2410256-94E790F28ED94018940D8EAEEE09C0CE;0.0799;Porto do Mangue
 RN-2410256-6CF558DA33C24FCF96359005C96BC593;0.5845;Porto do Mangue
 RN-2410256-72E53E6F922D49F194E9B162E602BF70;0.7235;Porto do Mangue
 RN-2410256-1E09EB5029F742D8B518623D04135115;0.0648;Porto do Mangue
 RN-2410256-9CD1CC6678ED47D99E848DD51614C15C;19250;Porto do Mangue
 RN-2410256-353CBFB08F5947349CC1E4D5C37D2A3F;0.3664;Porto do Mangue
 RN-2410256-B4365B3A7B654A8FA7979C7AABBEAF6C;0.3601;Porto do Mangue
 RN-2410256-862047592E3D4E89A7A6EF68D669A397;31802;Porto do Mangue
 RN-2410256-52A91217345645628CA7CE640F4FD2D0;21016;Porto do Mangue
