car;area;uf;mun
 RN-2412807-C9BA221AB6BF409BB26D4384E7477993;561005;RN;São Rafael
 RN-2412807-3F604470F75146E3B85EB23D7437F96E;115616;RN;São Rafael
 RN-2412807-1C368BA49AD442E4956584784E95E98B;116022;RN;São Rafael
 RN-2412807-1C5BFC8C4F324702A424FE8B20F2A834;230678;RN;São Rafael
 RN-2412807-712AD216955B413885C04D5D763C7BB9;13484723;RN;São Rafael
 RN-2412807-CD86BE67F78741BD9BFAF0AB78A563F5;104605;RN;São Rafael
 RN-2412807-050AD899AFB44ED19DC249BEA7DAA1C8;46752;RN;São Rafael
 RN-2412807-AEE64B5239AB4AEF93CE3AE3895C3679;623747;RN;São Rafael
 RN-2412807-DFC8BCC3E10143BA964DD52C1C51FDB6;4888689;RN;São Rafael
 RN-2412807-0E1F5F172EC344A6BA6F1E31A6EFA28E;550379;RN;São Rafael
 RN-2412807-E896379FD8D74E859A24EE58EF606391;104320;RN;São Rafael
 RN-2412807-1C5ABA6B56D24C65AC56F4EA1CC0A220;104614;RN;São Rafael
 RN-2412807-5458B5619EA14E1C89D8BC3A8977EE57;1175155;RN;São Rafael
 RN-2412807-5FD16A6B7DD9403C8E844931B5CAC70F;260369;RN;São Rafael
 RN-2412807-5D388807263A4A79B46E28F1B257DD82;3165335;RN;São Rafael
 RN-2412807-6F2F8C6BDA0D47EEA58CD1493035871F;929375;RN;São Rafael
 RN-2412807-7EAD4C2D11CD49AEB435CF87C9324B37;66357236;RN;São Rafael
 RN-2412807-EF7D1D216C33408C9ADE6EE492E3B0DD;43316;RN;São Rafael
 RN-2412807-9C2B960C0B9B400EBCB824B553D18D61;6506198;RN;São Rafael
 RN-2412807-07218E53D0734B35AC27E714E83350E9;89002;RN;São Rafael
 RN-2412807-A361068CBB1C43F89888EF040BB715E3;4783893;RN;São Rafael
 RN-2412807-742CF6B4D2B8470CA943A48C44DA1AAE;697595;RN;São Rafael
 RN-2412807-61C8ABEFDE7E4F0BB53FB6E0ECED10CD;198835;RN;São Rafael
 RN-2412807-F80AD1CBE52D4F5E9410D46858BD2A76;5300219;RN;São Rafael
 RN-2412807-8403D9BBBD3543E2AA04D60781727B49;767900;RN;São Rafael
 RN-2412807-2C3D0E1D5D664B22AE65052B0B1AA3FC;76985;RN;São Rafael
 RN-2412807-003BDBE6CBAA4231AF68A32EFB3D8A66;2188813;RN;São Rafael
 RN-2412807-88BCE5EBC5E341C6942CA0493E115DFA;0.2170;RN;São Rafael
 RN-2412807-076939C4669D4C1CB7BC8EE975CE251C;1560620;RN;São Rafael
 RN-2412807-F756F0AD99FB4F579E0583B06F66D39F;7763725;RN;São Rafael
 RN-2412807-F5189DCD71EE4732A591BC3B51E1A1B6;587993;RN;São Rafael
 RN-2412807-4A80B1D18D94492AA7C1806526A4D0F3;2357880;RN;São Rafael
 RN-2412807-10DBECC0860E4AB583A202324DA1EE4F;986325;RN;São Rafael
 RN-2412807-C976A8FDF07A4EC8B00A1583A656DBA9;195229;RN;São Rafael
 RN-2412807-0A5E2A80112C4B21B3054EAD0154BFBB;3939807;RN;São Rafael
 RN-2412807-35ABA56D76BF4B86B935E70C8A05D5FC;3975853;RN;São Rafael
 RN-2412807-D428CF87DF21412CB472265F35B8167E;10387991;RN;São Rafael
 RN-2412807-8EB6C313E4984E228559851171C47EB2;234783;RN;São Rafael
 RN-2412807-4C28E5B24A8842FF9E5F74669BE88D62;48706;RN;São Rafael
 RN-2412807-7D89E07069A141C28DB080B27F3F174C;2747600;RN;São Rafael
 RN-2412807-1B6CCA2AD45248359E15D73CE16A1F06;973786;RN;São Rafael
 RN-2412807-CF9D1A0A4A0D4ED1A27C18F448351C71;1031489;RN;São Rafael
 RN-2412807-813E672127EA4BF1B745BD5F7220B712;153362;RN;São Rafael
 RN-2412807-3C52C3C8F68F4113A28754981C193FCD;911916;RN;São Rafael
 RN-2412807-AE31FA6C75EF43B48A67BC10635C4E8C;9583813;RN;São Rafael
 RN-2412807-6F8D6F69B6B842B5940EC8C411541130;61701;RN;São Rafael
 RN-2412807-8C8C7B042B594C61A6E891DD24C7875C;90892;RN;São Rafael
 RN-2412807-0B3AE8BDEF4D44048D7309E94F01ACD7;9285724;RN;São Rafael
 RN-2412807-1E27E4C3E5AE4D5CAA87C7E7C40C7C99;8712489;RN;São Rafael
 RN-2412807-41C56080C97F4436851439053D9E247A;209906;RN;São Rafael
 RN-2412807-2A50124DC171429B80CC92A378D51FCF;951688;RN;São Rafael
 RN-2412807-AD207729BDC5416196175D0BD0234EF1;6260798;RN;São Rafael
 RN-2412807-00B0AC1CCB8447FEBAF6D42F6FDA53A7;6014584;RN;São Rafael
 RN-2412807-765802F94B2C4F109E34BD72EC82ED4A;927099;RN;São Rafael
 RN-2412807-0355077F3C204D2DB182EF842A206476;79245;RN;São Rafael
 RN-2412807-502CF1E006E940B4ACBECCC2541E536D;167150;RN;São Rafael
 RN-2412807-51FA8768235D4A9F98186DA68FBE669D;773516;RN;São Rafael
 RN-2412807-1EFB0D5D553D423D87661D6C286323CA;116045;RN;São Rafael
 RN-2412807-4AAD52A55FD94FB39994B590F07A5EE3;13557166;RN;São Rafael
 RN-2412807-944C0B1CD27C4B1B8C0DEA042412B48B;3221416;RN;São Rafael
